2023-11-27 15:19:06,601 INFO    StreamThr :937688 [internal.py:wandb_internal():86] W&B internal server running at pid: 937688, started at: 2023-11-27 15:19:06.601570
2023-11-27 15:19:06,603 DEBUG   HandlerThread:937688 [handler.py:handle_request():146] handle_request: status
2023-11-27 15:19:06,604 INFO    WriterThread:937688 [datastore.py:open_for_write():85] open: /home/kebl6872/REFUGE_4YP/Run/wandb/run-20231127_151906-jpvmg39l/run-jpvmg39l.wandb
2023-11-27 15:19:06,606 DEBUG   SenderThread:937688 [sender.py:send():380] send: header
2023-11-27 15:19:06,606 DEBUG   SenderThread:937688 [sender.py:send():380] send: run
2023-11-27 15:19:06,962 INFO    SenderThread:937688 [dir_watcher.py:__init__():211] watching files in: /home/kebl6872/REFUGE_4YP/Run/wandb/run-20231127_151906-jpvmg39l/files
2023-11-27 15:19:06,962 INFO    SenderThread:937688 [sender.py:_start_run_threads():1122] run started: jpvmg39l with start time 1701098346.601476
2023-11-27 15:19:06,967 DEBUG   HandlerThread:937688 [handler.py:handle_request():146] handle_request: check_version
2023-11-27 15:19:06,967 DEBUG   SenderThread:937688 [sender.py:send_request():407] send_request: check_version
2023-11-27 15:19:07,024 DEBUG   HandlerThread:937688 [handler.py:handle_request():146] handle_request: run_start
2023-11-27 15:19:07,031 DEBUG   HandlerThread:937688 [system_info.py:__init__():32] System info init
2023-11-27 15:19:07,031 DEBUG   HandlerThread:937688 [system_info.py:__init__():47] System info init done
2023-11-27 15:19:07,031 INFO    HandlerThread:937688 [system_monitor.py:start():194] Starting system monitor
2023-11-27 15:19:07,032 INFO    SystemMonitor:937688 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-27 15:19:07,032 INFO    HandlerThread:937688 [system_monitor.py:probe():214] Collecting system info
2023-11-27 15:19:07,032 INFO    SystemMonitor:937688 [interfaces.py:start():190] Started cpu monitoring
2023-11-27 15:19:07,033 INFO    SystemMonitor:937688 [interfaces.py:start():190] Started disk monitoring
2023-11-27 15:19:07,033 INFO    SystemMonitor:937688 [interfaces.py:start():190] Started gpu monitoring
2023-11-27 15:19:07,033 INFO    SystemMonitor:937688 [interfaces.py:start():190] Started memory monitoring
2023-11-27 15:19:07,034 INFO    SystemMonitor:937688 [interfaces.py:start():190] Started network monitoring
2023-11-27 15:19:07,046 DEBUG   HandlerThread:937688 [system_info.py:probe():196] Probing system
2023-11-27 15:19:07,047 DEBUG   HandlerThread:937688 [system_info.py:_probe_git():181] Probing git
2023-11-27 15:19:07,051 DEBUG   HandlerThread:937688 [system_info.py:_probe_git():189] Probing git done
